ticker,quarter,cik
A,2020Q1,1090872
A,2020Q2,1090872
A,2020Q3,1090872
A,2020Q4,1090872
A,2021Q1,1090872
A,2021Q2,1090872
A,2021Q3,1090872
A,2021Q4,1090872
A,2022Q1,1090872
A,2022Q2,1090872
A,2022Q3,1090872
A,2022Q4,1090872
A,2023Q1,1090872
A,2023Q2,1090872
A,2023Q3,1090872
A,2023Q4,1090872
A,2024Q1,1090872
A,2024Q2,1090872
A,2024Q3,1090872
A,2024Q4,1090872
AAL,2020Q1,6201
AAL,2020Q2,6201
AAL,2020Q3,6201
AAL,2020Q4,6201
AAL,2021Q1,6201
AAL,2021Q2,6201
AAL,2021Q3,6201
AAL,2021Q4,6201
AAL,2022Q1,6201
AAL,2022Q2,6201
AAL,2022Q3,6201
AAL,2022Q4,6201
AAL,2023Q1,6201
AAL,2023Q2,6201
AAL,2023Q3,6201
AAL,2023Q4,6201
AAL,2024Q1,6201
AAL,2024Q2,6201
AAL,2024Q3,6201
AAP,2020Q1,1158449
AAP,2020Q2,1158449
AAP,2020Q3,1158449
AAP,2020Q4,1158449
AAP,2021Q1,1158449
AAP,2021Q2,1158449
AAP,2021Q3,1158449
AAP,2021Q4,1158449
AAP,2022Q1,1158449
AAP,2022Q2,1158449
AAP,2022Q3,1158449
AAP,2022Q4,1158449
AAP,2023Q1,1158449
AAP,2023Q2,1158449
AAP,2023Q3,1158449
AAPL,2020Q1,320193
AAPL,2020Q2,320193
AAPL,2020Q3,320193
AAPL,2020Q4,320193
AAPL,2021Q1,320193
AAPL,2021Q2,320193
AAPL,2021Q3,320193
AAPL,2021Q4,320193
AAPL,2022Q1,320193
AAPL,2022Q2,320193
AAPL,2022Q3,320193
AAPL,2022Q4,320193
AAPL,2023Q1,320193
AAPL,2023Q2,320193
AAPL,2023Q3,320193
AAPL,2023Q4,320193
AAPL,2024Q1,320193
AAPL,2024Q2,320193
AAPL,2024Q3,320193
AAPL,2024Q4,320193
ABBV,2020Q1,1551152
ABBV,2020Q2,1551152
ABBV,2020Q3,1551152
ABBV,2020Q4,1551152
ABBV,2021Q1,1551152
ABBV,2021Q2,1551152
ABBV,2021Q3,1551152
ABBV,2021Q4,1551152
ABBV,2022Q1,1551152
ABBV,2022Q2,1551152
ABBV,2022Q3,1551152
ABBV,2022Q4,1551152
ABBV,2023Q1,1551152
ABBV,2023Q2,1551152
ABBV,2023Q3,1551152
ABBV,2023Q4,1551152
ABBV,2024Q1,1551152
ABBV,2024Q2,1551152
ABBV,2024Q3,1551152
ABBV,2024Q4,1551152
ABC,2020Q1,1140859
ABC,2020Q2,1140859
ABC,2020Q3,1140859
ABC,2020Q4,1140859
ABC,2021Q1,1140859
ABC,2021Q2,1140859
ABC,2021Q3,1140859
ABC,2021Q4,1140859
ABC,2022Q1,1140859
ABC,2022Q2,1140859
ABC,2022Q3,1140859
ABC,2022Q4,1140859
ABC,2023Q1,1140859
ABC,2023Q2,1140859
ABC,2023Q3,1140859
ABMD,2020Q1,815094
ABMD,2020Q2,815094
ABMD,2020Q3,815094
ABMD,2020Q4,815094
